observation_id,city,district,division,region,country,latitude,longitude,timestamp_utc,sunrise_utc,sunset_utc,weather_main,weather_desc,weather_id,temp_celsius,feels_like_celsius,temp_min_celsius,temp_max_celsius,humidity_pct,pressure_hpa,visibility_m,wind_speed_mps,wind_deg,cloud_pct,rain_1h_mm,ingestion_timestamp,temp_fahrenheit,wind_speed_kmh,heat_index,date,hour,day_of_week,daylight_hrs,temp_category,humidity_category,weather_severity,record_created_at
59824,Walwa,Sangli,Pune,Western Maharashtra,IN,16.9833,74.4333,2026-07-21 14:00:00,2026-07-21 00:38:00,2026-07-21 13:38:00,Drizzle,dense drizzle,302,22.3,24.8,22.1,27.2,95.0,1009.3,4000.0,3.82,243.0,100.0,0.2,20260721_140020,72.14,13.75,22.09,2026-07-21,14,Tuesday,13.0,Moderate,High,Rainy,2026-07-21 14:01:51
59823,Tasgaon,Sangli,Pune,Western Maharashtra,IN,17.033331,74.599998,2026-07-21 14:00:00,2026-07-21 00:37:00,2026-07-21 13:37:00,Drizzle,dense drizzle,302,22.3,24.6,21.9,27.3,95.0,1009.4,4140.0,4.5,241.0,100.0,0.2,20260721_140020,72.14,16.2,22.09,2026-07-21,14,Tuesday,13.0,Moderate,High,Rainy,2026-07-21 14:01:51
59822,Shirala,Sangli,Pune,Western Maharashtra,IN,17.1167,74.1333,2026-07-21 14:00:00,2026-07-21 00:39:00,2026-07-21 13:40:00,Drizzle,light drizzle,300,21.6,23.2,21.1,24.6,96.0,1009.5,5820.0,5.28,243.0,100.0,0.1,20260721_140020,70.88,19.01,21.44,2026-07-21,14,Tuesday,13.02,Moderate,High,Rainy,2026-07-21 14:01:51
59821,Khanapur,Sangli,Pune,Western Maharashtra,IN,15.63333,74.51667,2026-07-21 14:00:00,2026-07-21 00:40:00,2026-07-21 13:36:00,Drizzle,moderate drizzle,301,21.5,23.5,20.9,25.3,97.0,1011.0,3220.0,4.5,247.0,100.0,0.2,20260721_140020,70.7,16.2,21.38,2026-07-21,14,Tuesday,12.93,Moderate,High,Rainy,2026-07-21 14:01:51
59820,Jat,Sangli,Pune,Western Maharashtra,IN,17.05,75.2167,2026-07-21 14:00:00,2026-07-21 00:35:00,2026-07-21 13:35:00,Drizzle,light drizzle,300,22.2,23.4,21.4,28.8,96.0,1009.4,3700.0,6.44,241.0,100.0,0.1,20260721_140020,71.96,23.18,22.03,2026-07-21,14,Tuesday,13.0,Moderate,High,Rainy,2026-07-21 14:01:51
59819,Atpadi,Sangli,Pune,Western Maharashtra,IN,17.4333,74.9333,2026-07-21 14:00:00,2026-07-21 00:36:00,2026-07-21 13:37:00,Rain,slight rain,500,23.3,25.2,22.6,29.3,92.0,1008.3,3480.0,5.61,239.0,100.0,0.4,20260721_140020,73.94,20.2,22.91,2026-07-21,14,Tuesday,13.02,Moderate,High,Rainy,2026-07-21 14:01:51
59818,Shirur,Pune,Pune,Western Maharashtra,IN,18.8167,74.3667,2026-07-21 14:00:00,2026-07-21 00:36:00,2026-07-21 13:42:00,Clouds,overcast,804,23.8,25.5,22.4,28.5,86.0,1007.2,5440.0,5.39,245.0,100.0,0.0,20260721_140020,74.84,19.4,23.08,2026-07-21,14,Tuesday,13.1,Moderate,High,Cloudy,2026-07-21 14:01:51
59817,Khed,Pune,Pune,Western Maharashtra,IN,18.87,73.89,2026-07-21 14:00:00,2026-07-21 00:37:00,2026-07-21 13:44:00,Drizzle,light drizzle,300,22.0,23.8,21.5,25.0,97.0,1007.7,3520.0,5.41,254.0,100.0,0.0,20260721_140020,71.6,19.48,21.88,2026-07-21,14,Tuesday,13.12,Moderate,High,Rainy,2026-07-21 14:01:51
59816,Junnar,Pune,Pune,Western Maharashtra,IN,19.200001,73.883331,2026-07-21 14:00:00,2026-07-21 00:37:00,2026-07-21 13:44:00,Drizzle,moderate drizzle,301,21.6,23.1,21.5,25.0,96.0,1007.4,6060.0,5.38,264.0,100.0,0.2,20260721_140020,70.88,19.37,21.44,2026-07-21,14,Tuesday,13.12,Moderate,High,Rainy,2026-07-21 14:01:51
59815,Indapur,Pune,Pune,Western Maharashtra,IN,18.299999,73.25,2026-07-21 14:00:00,2026-07-21 00:41:00,2026-07-21 13:45:00,Thunderstorm,thunderstorm,211,24.4,29.4,23.7,29.2,99.0,1006.9,4680.0,2.12,153.0,100.0,0.3,20260721_140020,75.92,7.63,24.35,2026-07-21,14,Tuesday,13.07,Moderate,High,Storm,2026-07-21 14:01:51
59814,Daund,Pune,Pune,Western Maharashtra,IN,18.466669,74.599998,2026-07-21 14:00:00,2026-07-21 00:35:00,2026-07-21 13:40:00,Clouds,overcast,804,24.7,26.3,23.3,29.1,81.0,1007.0,5480.0,5.55,247.0,100.0,0.0,20260721_140020,76.46,19.98,23.63,2026-07-21,14,Tuesday,13.08,Moderate,High,Cloudy,2026-07-21 14:01:51
59813,Bhor,Pune,Pune,Western Maharashtra,IN,18.16667,73.849998,2026-07-21 14:00:00,2026-07-21 00:39:00,2026-07-21 13:42:00,Drizzle,light drizzle,300,22.4,23.8,21.3,23.5,96.0,1007.9,5340.0,6.3,260.0,100.0,0.1,20260721_140020,72.32,22.68,22.23,2026-07-21,14,Tuesday,13.05,Moderate,High,Rainy,2026-07-21 14:01:51
59812,Baramati,Pune,Pune,Western Maharashtra,IN,18.15,74.583328,2026-07-21 14:00:00,2026-07-21 00:36:00,2026-07-21 13:40:00,Drizzle,light drizzle,300,24.1,26.6,22.4,29.0,87.0,1007.4,17180.0,4.3,245.0,100.0,0.0,20260721_140020,75.38,15.48,23.41,2026-07-21,14,Tuesday,13.07,Moderate,High,Rainy,2026-07-21 14:01:51
59811,Panhala,Kolhapur,Pune,Western Maharashtra,IN,16.816669,74.116669,2026-07-21 14:00:00,2026-07-21 00:40:00,2026-07-21 13:39:00,Drizzle,light drizzle,300,20.0,21.4,20.0,23.7,96.0,1009.6,8580.0,4.0,238.0,100.0,0.1,20260721_140020,68.0,14.4,19.88,2026-07-21,14,Tuesday,12.98,Moderate,High,Rainy,2026-07-21 14:01:51
59810,Kagal,Kolhapur,Pune,Western Maharashtra,IN,16.58333,74.316673,2026-07-21 14:00:00,2026-07-21 00:40:00,2026-07-21 13:38:00,Drizzle,light drizzle,300,22.1,23.9,22.1,25.8,92.0,1009.6,15560.0,4.77,237.0,100.0,0.1,20260721_140020,71.78,17.17,21.77,2026-07-21,14,Tuesday,12.97,Moderate,High,Rainy,2026-07-21 14:01:51
59809,Gadhinglaj,Kolhapur,Pune,Western Maharashtra,IN,16.23333,74.349998,2026-07-21 14:00:00,2026-07-21 00:40:00,2026-07-21 13:37:00,Drizzle,light drizzle,300,21.2,22.7,21.1,25.5,96.0,1010.4,6200.0,4.94,242.0,100.0,0.1,20260721_140020,70.16,17.78,21.05,2026-07-21,14,Tuesday,12.95,Moderate,High,Rainy,2026-07-21 14:01:51
59808,Chandgad,Kolhapur,Pune,Western Maharashtra,IN,15.8667,74.2,2026-07-21 14:00:00,2026-07-21 00:41:00,2026-07-21 13:37:00,Drizzle,moderate drizzle,301,20.7,23.0,20.1,23.7,100.0,1011.4,440.0,3.57,239.0,100.0,0.1,20260721_140020,69.26,12.85,20.7,2026-07-21,14,Tuesday,12.93,Moderate,High,Rainy,2026-07-21 14:01:51
59807,Ajra,Kolhapur,Pune,Western Maharashtra,IN,16.116671,74.199997,2026-07-21 14:00:00,2026-07-21 00:41:00,2026-07-21 13:38:00,Drizzle,moderate drizzle,301,20.6,21.8,20.6,24.4,98.0,1010.6,6940.0,5.17,245.0,100.0,0.2,20260721_140020,69.08,18.61,20.53,2026-07-21,14,Tuesday,12.95,Moderate,High,Rainy,2026-07-21 14:01:51
59806,Yavatmal,Yavatmal,Amravati,Vidarbha,IN,20.4,78.133331,2026-07-21 14:00:00,2026-07-21 00:18:00,2026-07-21 13:29:00,Drizzle,light drizzle,300,24.3,28.4,23.3,25.6,97.0,1004.5,5460.0,3.53,232.0,100.0,0.1,20260721_140020,75.74,12.71,24.14,2026-07-21,14,Tuesday,13.18,Moderate,High,Rainy,2026-07-21 14:01:51
59805,Wani,Yavatmal,Amravati,Vidarbha,IN,20.066669,78.949997,2026-07-21 14:00:00,2026-07-21 00:15:00,2026-07-21 13:25:00,Drizzle,dense drizzle,302,25.3,29.5,24.6,26.3,94.0,1004.3,2460.0,3.84,219.0,100.0,0.2,20260721_140020,77.54,13.82,24.94,2026-07-21,14,Tuesday,13.17,Moderate,High,Rainy,2026-07-21 14:01:51
59804,Umarkhed,Yavatmal,Amravati,Vidarbha,IN,19.6,77.699997,2026-07-21 14:00:00,2026-07-21 00:21:00,2026-07-21 13:29:00,Drizzle,dense drizzle,302,24.3,27.9,23.5,26.7,95.0,1005.6,2540.0,4.06,232.0,100.0,0.3,20260721_140020,75.74,14.62,24.03,2026-07-21,14,Tuesday,13.13,Moderate,High,Rainy,2026-07-21 14:01:51
59803,Ralegaon,Yavatmal,Amravati,Vidarbha,IN,20.25,78.5,2026-07-21 14:00:00,2026-07-21 00:16:00,2026-07-21 13:27:00,Drizzle,dense drizzle,302,24.8,29.5,23.7,25.4,98.0,1004.4,3440.0,3.2,231.0,100.0,0.3,20260721_140020,76.64,11.52,24.69,2026-07-21,14,Tuesday,13.18,Moderate,High,Rainy,2026-07-21 14:01:51
59802,Pusad,Yavatmal,Amravati,Vidarbha,IN,19.9,77.583328,2026-07-21 14:00:00,2026-07-21 00:21:00,2026-07-21 13:30:00,Drizzle,moderate drizzle,301,24.9,28.6,23.8,28.3,93.0,1004.8,2600.0,4.23,237.0,100.0,0.2,20260721_140020,76.82,15.23,24.5,2026-07-21,14,Tuesday,13.15,Moderate,High,Rainy,2026-07-21 14:01:51
59801,Maregaon,Yavatmal,Amravati,Vidarbha,IN,20.1,78.15,2026-07-21 14:00:00,2026-07-21 00:18:00,2026-07-21 13:29:00,Drizzle,moderate drizzle,301,25.3,29.5,24.0,27.1,94.0,1004.4,4200.0,3.85,232.0,100.0,0.2,20260721_140020,77.54,13.86,24.94,2026-07-21,14,Tuesday,13.18,Moderate,High,Rainy,2026-07-21 14:01:51
59800,Kalamb,Yavatmal,Amravati,Vidarbha,IN,20.47,78.32,2026-07-21 14:00:00,2026-07-21 00:17:00,2026-07-21 13:29:00,Drizzle,light drizzle,300,25.4,30.0,24.3,26.6,93.0,1004.2,6420.0,2.84,246.0,100.0,0.1,20260721_140020,77.72,10.22,24.98,2026-07-21,14,Tuesday,13.2,Moderate,High,Rainy,2026-07-21 14:01:51
59799,Ghatanji,Yavatmal,Amravati,Vidarbha,IN,20.133329,78.316673,2026-07-21 14:00:00,2026-07-21 00:18:00,2026-07-21 13:28:00,Rain,slight rain showers,520,25.6,30.4,24.0,26.3,94.0,1004.4,4060.0,3.34,231.0,100.0,0.2,20260721_140020,78.08,12.02,25.23,2026-07-21,14,Tuesday,13.17,Moderate,High,Rainy,2026-07-21 14:01:51
59798,Digras,Yavatmal,Amravati,Vidarbha,IN,20.116671,77.716667,2026-07-21 14:00:00,2026-07-21 00:20:00,2026-07-21 13:30:00,Drizzle,moderate drizzle,301,25.2,28.9,23.9,27.7,93.0,1004.5,4520.0,4.39,228.0,100.0,0.2,20260721_140020,77.36,15.8,24.79,2026-07-21,14,Tuesday,13.17,Moderate,High,Rainy,2026-07-21 14:01:51
59797,Darwha,Yavatmal,Amravati,Vidarbha,IN,20.316669,77.76667,2026-07-21 14:00:00,2026-07-21 00:19:00,2026-07-21 13:30:00,Drizzle,dense drizzle,302,25.3,29.4,24.1,27.4,92.0,1004.3,3500.0,3.78,224.0,100.0,0.2,20260721_140020,77.54,13.61,24.82,2026-07-21,14,Tuesday,13.18,Moderate,High,Rainy,2026-07-21 14:01:51
59796,Arni,Yavatmal,Amravati,Vidarbha,IN,19.9833,78.0,2026-07-21 14:00:00,2026-07-21 00:19:00,2026-07-21 13:29:00,Drizzle,dense drizzle,302,24.9,28.9,23.8,27.0,95.0,1004.5,3920.0,4.04,234.0,100.0,0.3,20260721_140020,76.82,14.54,24.61,2026-07-21,14,Tuesday,13.17,Moderate,High,Rainy,2026-07-21 14:01:51
59795,Washim,Washim,Amravati,Vidarbha,IN,20.1,77.150002,2026-07-21 14:00:00,2026-07-21 00:22:00,2026-07-21 13:33:00,Rain,slight rain showers,520,24.0,27.1,23.0,27.3,93.0,1005.4,4000.0,4.45,235.0,100.0,0.3,20260721_140020,75.2,16.02,23.63,2026-07-21,14,Tuesday,13.18,Moderate,High,Rainy,2026-07-21 14:01:51
59794,Risod,Washim,Amravati,Vidarbha,IN,19.966669,76.783333,2026-07-21 14:00:00,2026-07-21 00:24:00,2026-07-21 13:34:00,Rain,slight rain,500,24.1,27.3,22.9,28.9,93.0,1005.5,2860.0,4.22,236.0,100.0,0.4,20260721_140020,75.38,15.19,23.73,2026-07-21,14,Tuesday,13.17,Moderate,High,Rainy,2026-07-21 14:01:51
59793,Manora,Washim,Amravati,Vidarbha,IN,20.25,77.15,2026-07-21 14:00:00,2026-07-21 00:22:00,2026-07-21 13:33:00,Drizzle,moderate drizzle,301,24.3,27.3,23.2,28.3,94.0,1004.8,3460.0,4.97,234.0,100.0,0.2,20260721_140020,75.74,17.89,23.98,2026-07-21,14,Tuesday,13.18,Moderate,High,Rainy,2026-07-21 14:01:51
59792,Mangrulpir,Washim,Amravati,Vidarbha,IN,20.316669,77.349998,2026-07-21 14:00:00,2026-07-21 00:21:00,2026-07-21 13:32:00,Drizzle,moderate drizzle,301,24.8,27.9,23.4,28.4,92.0,1004.7,3880.0,4.97,241.0,100.0,0.2,20260721_140020,76.64,17.89,24.35,2026-07-21,14,Tuesday,13.18,Moderate,High,Rainy,2026-07-21 14:01:51
59791,Malegaon,Washim,Amravati,Vidarbha,IN,20.32,77.52,2026-07-21 14:00:00,2026-07-21 00:20:00,2026-07-21 13:32:00,Drizzle,light drizzle,300,25.3,28.9,23.8,28.4,92.0,1004.4,4040.0,4.37,239.0,100.0,0.1,20260721_140020,77.54,15.73,24.82,2026-07-21,14,Tuesday,13.2,Moderate,High,Rainy,2026-07-21 14:01:51
59790,Karanja,Washim,Amravati,Vidarbha,IN,20.48333,77.48333,2026-07-21 14:00:00,2026-07-21 00:20:00,2026-07-21 13:32:00,Drizzle,moderate drizzle,301,25.4,29.3,23.9,28.0,92.0,1004.3,3520.0,4.28,240.0,100.0,0.2,20260721_140020,77.72,15.41,24.92,2026-07-21,14,Tuesday,13.2,Moderate,High,Rainy,2026-07-21 14:01:51
59789,Wardha,Wardha,Nagpur,Vidarbha,IN,20.75,78.616669,2026-07-21 14:00:00,2026-07-21 00:15:00,2026-07-21 13:28:00,Drizzle,moderate drizzle,301,25.5,30.1,24.3,26.7,94.0,1003.8,3360.0,3.11,237.0,100.0,0.1,20260721_140020,77.9,11.2,25.14,2026-07-21,14,Tuesday,13.22,Moderate,High,Rainy,2026-07-21 14:01:51
59788,Karanja,Wardha,Nagpur,Vidarbha,IN,20.48333,77.48333,2026-07-21 14:00:00,2026-07-21 00:20:00,2026-07-21 13:32:00,Drizzle,moderate drizzle,301,25.4,29.3,23.9,28.0,92.0,1004.3,3520.0,4.28,240.0,100.0,0.2,20260721_140020,77.72,15.41,24.92,2026-07-21,14,Tuesday,13.2,Moderate,High,Rainy,2026-07-21 14:01:51
59787,Hinganghat,Wardha,Nagpur,Vidarbha,IN,20.566669,78.833328,2026-07-21 14:00:00,2026-07-21 00:15:00,2026-07-21 13:27:00,Thunderstorm,thunderstorm,211,25.6,30.5,24.6,26.5,93.0,1004.0,2600.0,2.69,227.0,100.0,0.2,20260721_140020,78.08,9.68,25.17,2026-07-21,14,Tuesday,13.2,Moderate,High,Storm,2026-07-21 14:01:51
59786,Deoli,Wardha,Nagpur,Vidarbha,IN,25.75,75.383331,2026-07-21 14:00:00,2026-07-21 00:19:00,2026-07-21 13:50:00,Drizzle,light drizzle,300,26.7,33.4,25.0,29.3,95.0,1000.7,7260.0,0.96,223.0,100.0,0.1,20260721_140020,80.06,3.46,26.36,2026-07-21,14,Tuesday,13.52,Moderate,High,Rainy,2026-07-21 14:01:51
59785,Ashti,Wardha,Nagpur,Vidarbha,IN,19.383329,76.23333,2026-07-21 14:00:00,2026-07-21 00:27:00,2026-07-21 13:35:00,Drizzle,moderate drizzle,301,24.9,28.4,23.6,30.2,91.0,1005.8,3340.0,4.16,241.0,100.0,0.2,20260721_140020,76.82,14.98,24.39,2026-07-21,14,Tuesday,13.13,Moderate,High,Rainy,2026-07-21 14:01:51
59784,Arvi,Wardha,Nagpur,Vidarbha,IN,20.98333,78.23333,2026-07-21 14:00:00,2026-07-21 00:16:00,2026-07-21 13:30:00,Rain,slight rain showers,520,25.1,29.7,24.2,27.7,94.0,1004.0,3760.0,2.79,226.0,100.0,0.2,20260721_140020,77.18,10.04,24.75,2026-07-21,14,Tuesday,13.23,Moderate,High,Rainy,2026-07-21 14:01:51
59783,Umred,Nagpur,Nagpur,Vidarbha,IN,20.85,79.333328,2026-07-21 14:00:00,2026-07-21 00:12:00,2026-07-21 13:25:00,Rain,slight rain showers,520,24.8,29.2,23.8,25.7,96.0,1004.1,2660.0,3.25,226.0,100.0,0.3,20260721_140020,76.64,11.7,24.57,2026-07-21,14,Tuesday,13.22,Moderate,High,Rainy,2026-07-21 14:01:51
59782,Ramtek,Nagpur,Nagpur,Vidarbha,IN,21.4,79.333328,2026-07-21 14:00:00,2026-07-21 00:11:00,2026-07-21 13:26:00,Rain,slight rain showers,520,24.8,29.7,23.8,27.2,96.0,1003.6,2340.0,2.49,240.0,100.0,0.4,20260721_140020,76.64,8.96,24.57,2026-07-21,14,Tuesday,13.25,Moderate,High,Rainy,2026-07-21 14:01:51
59781,Katol,Nagpur,Nagpur,Vidarbha,IN,21.26667,78.583328,2026-07-21 14:00:00,2026-07-21 00:15:00,2026-07-21 13:29:00,Rain,slight rain showers,520,23.8,27.3,23.1,26.8,96.0,1004.1,2720.0,3.7,240.0,100.0,0.3,20260721_140020,74.84,13.32,23.6,2026-07-21,14,Tuesday,13.23,Moderate,High,Rainy,2026-07-21 14:01:51
59780,Kalameshwar,Nagpur,Nagpur,Vidarbha,IN,21.23333,78.900002,2026-07-21 14:00:00,2026-07-21 00:13:00,2026-07-21 13:28:00,Rain,slight rain showers,520,24.8,28.6,24.0,27.6,94.0,1003.6,2420.0,4.13,249.0,100.0,0.3,20260721_140020,76.64,14.87,24.46,2026-07-21,14,Tuesday,13.25,Moderate,High,Rainy,2026-07-21 14:01:51
59779,Goregaon,Gondia,Nagpur,Vidarbha,IN,20.97,80.22,2026-07-21 14:00:00,2026-07-21 00:08:00,2026-07-21 13:22:00,Rain,slight rain showers,520,23.7,27.8,23.3,26.2,99.0,1004.4,2140.0,3.14,233.0,100.0,0.3,20260721_140020,74.66,11.3,23.65,2026-07-21,14,Tuesday,13.23,Moderate,High,Rainy,2026-07-21 14:01:51
59778,Gondia,Gondia,Nagpur,Vidarbha,IN,21.450001,80.199997,2026-07-21 14:00:00,2026-07-21 00:08:00,2026-07-21 13:23:00,Drizzle,moderate drizzle,301,24.7,28.7,23.5,25.7,94.0,1003.6,2620.0,3.66,231.0,100.0,0.1,20260721_140020,76.46,13.18,24.36,2026-07-21,14,Tuesday,13.25,Moderate,High,Rainy,2026-07-21 14:01:51
59777,Deori,Gondia,Nagpur,Vidarbha,IN,21.18,80.31,2026-07-21 14:00:00,2026-07-21 00:08:00,2026-07-21 13:22:00,Drizzle,moderate drizzle,301,24.1,27.9,23.3,25.6,99.0,1004.0,4060.0,4.14,226.0,100.0,0.2,20260721_140020,75.38,14.9,24.05,2026-07-21,14,Tuesday,13.23,Moderate,High,Rainy,2026-07-21 14:01:51
59776,Amgaon,Gondia,Nagpur,Vidarbha,IN,20.65,80.35,2026-07-21 14:00:00,2026-07-21 00:08:00,2026-07-21 13:21:00,Rain,slight rain,500,23.9,28.0,23.3,25.2,99.0,1004.6,2400.0,3.5,227.0,100.0,0.4,20260721_140020,75.02,12.6,23.85,2026-07-21,14,Tuesday,13.22,Moderate,High,Rainy,2026-07-21 14:01:51
59775,Dhanora,Gadchiroli,Nagpur,Vidarbha,IN,20.2667,80.0,2026-07-21 14:00:00,2026-07-21 00:11:00,2026-07-21 13:22:00,Rain,slight rain,500,24.8,29.4,24.1,25.9,97.0,1004.6,2060.0,3.26,220.0,100.0,0.6,20260721_140020,76.64,11.74,24.63,2026-07-21,14,Tuesday,13.18,Moderate,High,Rainy,2026-07-21 14:01:51
59774,Aheri,Gadchiroli,Nagpur,Vidarbha,IN,19.4167,80.0,2026-07-21 14:00:00,2026-07-21 00:12:00,2026-07-21 13:20:00,Drizzle,moderate drizzle,301,25.4,30.8,24.6,27.1,98.0,1005.0,4640.0,2.52,201.0,100.0,0.2,20260721_140020,77.72,9.07,25.28,2026-07-21,14,Tuesday,13.13,Moderate,High,Rainy,2026-07-21 14:01:51
